20.01.25
Start: Time: 08:07 OCV: 4.201V Load-V: 3.832V
End: Time: 20:05 OCV: 3.598V Load-V: 3.190V

0: raw: 829, voltage: 3.965, soc: 95, lbo: 1
50: raw: 801, voltage: 3.831, soc: 83, lbo: 0

51: raw: 822, voltage: 3.932, soc: 92, lbo: 0

51: raw: 801, voltage: 3.831, soc: 83, lbo: 0

52: raw: 821, voltage: 3.927, soc: 92, lbo: 0

52: raw: 801, voltage: 3.831, soc: 83, lbo: 0

53: raw: 821, voltage: 3.927, soc: 92, lbo: 0

53: raw: 800, voltage: 3.827, soc: 83, lbo: 0

54: raw: 821, voltage: 3.927, soc: 92, lbo: 0

54: raw: 799, voltage: 3.822, soc: 82, lbo: 0

55: raw: 820, voltage: 3.922, soc: 91, lbo: 0

55: raw: 799, voltage: 3.822, soc: 82, lbo: 0

56: raw: 820, voltage: 3.922, soc: 91, lbo: 0

56: raw: 799, voltage: 3.822, soc: 82, lbo: 0

57: raw: 818, voltage: 3.913, soc: 90, lbo: 0

57: raw: 798, voltage: 3.817, soc: 82, lbo: 0

58: raw: 817, voltage: 3.908, soc: 90, lbo: 0

58: raw: 798, voltage: 3.817, soc: 82, lbo: 0

59: raw: 817, voltage: 3.908, soc: 90, lbo: 0

59: raw: 796, voltage: 3.808, soc: 81, lbo: 0

60: raw: 816, voltage: 3.903, soc: 90, lbo: 0

60: raw: 795, voltage: 3.803, soc: 81, lbo: 0

61: raw: 815, voltage: 3.898, soc: 89, lbo: 0

61: raw: 795, voltage: 3.803, soc: 81, lbo: 0

62: raw: 815, voltage: 3.898, soc: 89, lbo: 0

62: raw: 795, voltage: 3.803, soc: 81, lbo: 0

63: raw: 814, voltage: 3.894, soc: 89, lbo: 0

63: raw: 794, voltage: 3.798, soc: 80, lbo: 0

64: raw: 814, voltage: 3.894, soc: 89, lbo: 0

64: raw: 793, voltage: 3.793, soc: 80, lbo: 0

65: raw: 813, voltage: 3.889, soc: 88, lbo: 0

65: raw: 794, voltage: 3.798, soc: 80, lbo: 0

66: raw: 813, voltage: 3.889, soc: 88, lbo: 0

66: raw: 794, voltage: 3.798, soc: 80, lbo: 0

67: raw: 813, voltage: 3.889, soc: 88, lbo: 0

67: raw: 793, voltage: 3.793, soc: 80, lbo: 0

68: raw: 814, voltage: 3.894, soc: 89, lbo: 0

68: raw: 793, voltage: 3.793, soc: 80, lbo: 0

69: raw: 814, voltage: 3.894, soc: 89, lbo: 0

69: raw: 794, voltage: 3.798, soc: 80, lbo: 0

70: raw: 814, voltage: 3.894, soc: 89, lbo: 0

70: raw: 794, voltage: 3.798, soc: 80, lbo: 0

71: raw: 814, voltage: 3.894, soc: 89, lbo: 0

71: raw: 793, voltage: 3.793, soc: 80, lbo: 0

72: raw: 814, voltage: 3.894, soc: 89, lbo: 0

72: raw: 793, voltage: 3.793, soc: 80, lbo: 0

73: raw: 815, voltage: 3.898, soc: 89, lbo: 0

73: raw: 794, voltage: 3.798, soc: 80, lbo: 0

74: raw: 815, voltage: 3.898, soc: 89, lbo: 0

74: raw: 795, voltage: 3.803, soc: 81, lbo: 0

75: raw: 816, voltage: 3.903, soc: 90, lbo: 0

75: raw: 795, voltage: 3.803, soc: 81, lbo: 0

76: raw: 816, voltage: 3.903, soc: 90, lbo: 0

76: raw: 794, voltage: 3.798, soc: 80, lbo: 0

77: raw: 815, voltage: 3.898, soc: 89, lbo: 0

77: raw: 794, voltage: 3.798, soc: 80, lbo: 0

78: raw: 815, voltage: 3.898, soc: 89, lbo: 0

78: raw: 794, voltage: 3.798, soc: 80, lbo: 0

79: raw: 816, voltage: 3.903, soc: 90, lbo: 0

79: raw: 793, voltage: 3.793, soc: 80, lbo: 0

80: raw: 816, voltage: 3.903, soc: 90, lbo: 0

80: raw: 793, voltage: 3.793, soc: 80, lbo: 0

81: raw: 815, voltage: 3.898, soc: 89, lbo: 0

81: raw: 794, voltage: 3.798, soc: 80, lbo: 0

82: raw: 815, voltage: 3.898, soc: 89, lbo: 0

82: raw: 794, voltage: 3.798, soc: 80, lbo: 0

83: raw: 815, voltage: 3.898, soc: 89, lbo: 0

83: raw: 794, voltage: 3.798, soc: 80, lbo: 0

84: raw: 815, voltage: 3.898, soc: 89, lbo: 0

84: raw: 793, voltage: 3.793, soc: 80, lbo: 0

85: raw: 815, voltage: 3.898, soc: 89, lbo: 0

85: raw: 794, voltage: 3.798, soc: 80, lbo: 0

86: raw: 815, voltage: 3.898, soc: 89, lbo: 0

86: raw: 794, voltage: 3.798, soc: 80, lbo: 0

87: raw: 815, voltage: 3.898, soc: 89, lbo: 0

87: raw: 793, voltage: 3.793, soc: 80, lbo: 0

88: raw: 814, voltage: 3.894, soc: 89, lbo: 0

88: raw: 793, voltage: 3.793, soc: 80, lbo: 0

89: raw: 814, voltage: 3.894, soc: 89, lbo: 0

89: raw: 793, voltage: 3.793, soc: 80, lbo: 0

90: raw: 813, voltage: 3.889, soc: 88, lbo: 0

90: raw: 792, voltage: 3.788, soc: 80, lbo: 0

91: raw: 813, voltage: 3.889, soc: 88, lbo: 0

91: raw: 792, voltage: 3.788, soc: 80, lbo: 0

92: raw: 812, voltage: 3.884, soc: 88, lbo: 0

92: raw: 792, voltage: 3.788, soc: 80, lbo: 0

93: raw: 812, voltage: 3.884, soc: 88, lbo: 0

93: raw: 791, voltage: 3.784, soc: 79, lbo: 0

94: raw: 812, voltage: 3.884, soc: 88, lbo: 0

94: raw: 790, voltage: 3.779, soc: 79, lbo: 0

95: raw: 812, voltage: 3.884, soc: 88, lbo: 0

95: raw: 790, voltage: 3.779, soc: 79, lbo: 0

96: raw: 811, voltage: 3.879, soc: 87, lbo: 0

96: raw: 789, voltage: 3.774, soc: 78, lbo: 0

97: raw: 811, voltage: 3.879, soc: 87, lbo: 0

97: raw: 789, voltage: 3.774, soc: 78, lbo: 0

98: raw: 811, voltage: 3.879, soc: 87, lbo: 0

98: raw: 789, voltage: 3.774, soc: 78, lbo: 0

99: raw: 810, voltage: 3.875, soc: 87, lbo: 0

99: raw: 790, voltage: 3.779, soc: 79, lbo: 0

100: raw: 810, voltage: 3.875, soc: 87, lbo: 0

100: raw: 789, voltage: 3.774, soc: 78, lbo: 0

101: raw: 810, voltage: 3.875, soc: 87, lbo: 0

101: raw: 789, voltage: 3.774, soc: 78, lbo: 0

102: raw: 810, voltage: 3.875, soc: 87, lbo: 0

102: raw: 789, voltage: 3.774, soc: 78, lbo: 0

103: raw: 810, voltage: 3.875, soc: 87, lbo: 0

103: raw: 789, voltage: 3.774, soc: 78, lbo: 0

104: raw: 809, voltage: 3.870, soc: 87, lbo: 0

104: raw: 788, voltage: 3.769, soc: 78, lbo: 0

105: raw: 809, voltage: 3.870, soc: 87, lbo: 0

105: raw: 788, voltage: 3.769, soc: 78, lbo: 0

106: raw: 809, voltage: 3.870, soc: 87, lbo: 0

106: raw: 788, voltage: 3.769, soc: 78, lbo: 0

107: raw: 809, voltage: 3.870, soc: 87, lbo: 0

107: raw: 788, voltage: 3.769, soc: 78, lbo: 0

108: raw: 809, voltage: 3.870, soc: 87, lbo: 0

108: raw: 788, voltage: 3.769, soc: 78, lbo: 0

109: raw: 809, voltage: 3.870, soc: 87, lbo: 0

109: raw: 787, voltage: 3.764, soc: 77, lbo: 0

110: raw: 809, voltage: 3.870, soc: 87, lbo: 0

110: raw: 788, voltage: 3.769, soc: 78, lbo: 0

111: raw: 809, voltage: 3.870, soc: 87, lbo: 0

111: raw: 788, voltage: 3.769, soc: 78, lbo: 0

112: raw: 809, voltage: 3.870, soc: 87, lbo: 0

112: raw: 788, voltage: 3.769, soc: 78, lbo: 0

113: raw: 810, voltage: 3.875, soc: 87, lbo: 0

113: raw: 788, voltage: 3.769, soc: 78, lbo: 0

114: raw: 810, voltage: 3.875, soc: 87, lbo: 0

114: raw: 788, voltage: 3.769, soc: 78, lbo: 0

115: raw: 810, voltage: 3.875, soc: 87, lbo: 0

115: raw: 787, voltage: 3.764, soc: 77, lbo: 0

116: raw: 810, voltage: 3.875, soc: 87, lbo: 0

116: raw: 788, voltage: 3.769, soc: 78, lbo: 0

117: raw: 809, voltage: 3.870, soc: 87, lbo: 0

117: raw: 787, voltage: 3.764, soc: 77, lbo: 0

118: raw: 809, voltage: 3.870, soc: 87, lbo: 0

118: raw: 787, voltage: 3.764, soc: 77, lbo: 0

119: raw: 808, voltage: 3.865, soc: 86, lbo: 0

119: raw: 787, voltage: 3.764, soc: 77, lbo: 0

120: raw: 808, voltage: 3.865, soc: 86, lbo: 0

120: raw: 787, voltage: 3.764, soc: 77, lbo: 0

121: raw: 808, voltage: 3.865, soc: 86, lbo: 0

121: raw: 787, voltage: 3.764, soc: 77, lbo: 0

122: raw: 809, voltage: 3.870, soc: 87, lbo: 0

122: raw: 787, voltage: 3.764, soc: 77, lbo: 0

123: raw: 809, voltage: 3.870, soc: 87, lbo: 0

123: raw: 787, voltage: 3.764, soc: 77, lbo: 0

124: raw: 809, voltage: 3.870, soc: 87, lbo: 0

124: raw: 787, voltage: 3.764, soc: 77, lbo: 0

125: raw: 809, voltage: 3.870, soc: 87, lbo: 0

125: raw: 787, voltage: 3.764, soc: 77, lbo: 0

126: raw: 809, voltage: 3.870, soc: 87, lbo: 0

126: raw: 787, voltage: 3.764, soc: 77, lbo: 0

127: raw: 809, voltage: 3.870, soc: 87, lbo: 0

127: raw: 787, voltage: 3.764, soc: 77, lbo: 0

128: raw: 809, voltage: 3.870, soc: 87, lbo: 0

128: raw: 787, voltage: 3.764, soc: 77, lbo: 0

129: raw: 809, voltage: 3.870, soc: 87, lbo: 0

129: raw: 787, voltage: 3.764, soc: 77, lbo: 0

130: raw: 809, voltage: 3.870, soc: 87, lbo: 0

130: raw: 787, voltage: 3.764, soc: 77, lbo: 0

131: raw: 809, voltage: 3.870, soc: 87, lbo: 0

131: raw: 787, voltage: 3.764, soc: 77, lbo: 0

132: raw: 809, voltage: 3.870, soc: 87, lbo: 0

132: raw: 788, voltage: 3.769, soc: 78, lbo: 0

133: raw: 810, voltage: 3.875, soc: 87, lbo: 0

133: raw: 788, voltage: 3.769, soc: 78, lbo: 0

134: raw: 810, voltage: 3.875, soc: 87, lbo: 0

134: raw: 788, voltage: 3.769, soc: 78, lbo: 0

135: raw: 811, voltage: 3.879, soc: 87, lbo: 0

135: raw: 788, voltage: 3.769, soc: 78, lbo: 0

136: raw: 809, voltage: 3.870, soc: 87, lbo: 0

136: raw: 789, voltage: 3.774, soc: 78, lbo: 0

137: raw: 810, voltage: 3.875, soc: 87, lbo: 0

137: raw: 788, voltage: 3.769, soc: 78, lbo: 0

138: raw: 810, voltage: 3.875, soc: 87, lbo: 0

138: raw: 787, voltage: 3.764, soc: 77, lbo: 0

139: raw: 810, voltage: 3.875, soc: 87, lbo: 0

139: raw: 787, voltage: 3.764, soc: 77, lbo: 0

140: raw: 810, voltage: 3.875, soc: 87, lbo: 0

140: raw: 788, voltage: 3.769, soc: 78, lbo: 0

141: raw: 810, voltage: 3.875, soc: 87, lbo: 0

141: raw: 786, voltage: 3.760, soc: 77, lbo: 0

142: raw: 808, voltage: 3.865, soc: 86, lbo: 0

142: raw: 785, voltage: 3.755, soc: 77, lbo: 0

143: raw: 807, voltage: 3.860, soc: 86, lbo: 0

143: raw: 785, voltage: 3.755, soc: 77, lbo: 0

144: raw: 807, voltage: 3.860, soc: 86, lbo: 0

144: raw: 784, voltage: 3.750, soc: 76, lbo: 0

145: raw: 806, voltage: 3.855, soc: 85, lbo: 0

145: raw: 785, voltage: 3.755, soc: 77, lbo: 0

146: raw: 807, voltage: 3.860, soc: 86, lbo: 0

146: raw: 785, voltage: 3.755, soc: 77, lbo: 0

147: raw: 807, voltage: 3.860, soc: 86, lbo: 0

147: raw: 784, voltage: 3.750, soc: 76, lbo: 0

148: raw: 806, voltage: 3.855, soc: 85, lbo: 0

148: raw: 784, voltage: 3.750, soc: 76, lbo: 0

